0,1,2
2.816897,-60.690823,83.0
-8.267197,-72.74784,201.0
-8.950008,-72.78678,222.0
-8.142654,-70.3436,169.0
-11.023752,-68.73518,229.0
-8.091111,-60.380554,118.0
-1.411228,-48.43951,21.0
-1.300875,-47.947968,46.0
-2.5266666,-44.21361,51.0
-7.455609,-46.027546,258.0
-7.337269,-47.45984,181.0
-3.742674,-43.352085,102.0
-5.816111,-46.162224,225.0
-3.510943,-52.96345,244.0
-3.843611,-50.638054,80.0
-3.86404,-54.216415,105.0
-2.9902778,-47.407776,137.0
-2.5925,-48.360554,35.0
-4.827501,-48.173557,221.0
-0.618884,-47.356598,20.0
-6.639622,-51.956966,200.0
-2.270811,-43.624043,8.0
-2.592341,-42.707554,6.0
-1.661224,-45.37257,26.0
-4.2430553,-44.795,24.0
-5.5066667,-45.236946,150.0
-6.033167,-44.233402,178.0
-9.108199,-45.932014,280.0
-6.653333,-47.418335,180.0
-5.555723,-47.459793,125.0
-1.0472223,-46.78583,26.0
-0.7277778,-48.515835,12.0
-1.680251,-50.478138,9.0
-3.8227777,-49.675,90.0
-6.077427,-50.142265,702.0
-4.2769446,-55.993057,14.0
-1.880789,-55.519855,43.0
-9.338611,-50.35028,172.0
-6.743208,-51.1419,328.0
-4.243989,-49.93931,112.0
-2.239653,-49.49983,6.0
-4.821352,-43.34366,99.0
-4.320597,-46.449505,145.0
-2.000054,-54.07648,60.0
-5.366447,-49.051167,107.0
-8.30361,-49.28277,166.0
3.813583,-51.8625,38.0
0.69416666,-51.40389,88.0
-6.320067,-55.787785,238.0
-7.110518,-49.92607,245.0
-1.734766,-47.0575,82.0
0.03502,-51.088764,16.0
-2.502572,-54.72028,174.0
0.567833,-50.82353,19.0
-4.2805557,-47.56389,259.0
-3.2702777,-52.394722,180.0
-8.043333,-50.006943,211.0
-3.2691667,-45.65111,36.0
-8.05928,-34.95924,12.0
0.916877,-29.345903,0.0
-9.551111,-35.77028,78.0
-5.837222,-35.208057,45.0
-3.815701,-38.537792,31.0
-3.7480555,-40.345833,103.0
-9.388323,-40.523262,369.0
-3.086656,-41.78314,48.0
-8.433611,-37.055557,687.0
-6.975451,-35.71813,531.0
-6.761389,-43.003334,130.0
-5.034769,-42.801342,70.0
-7.225574,-35.90483,527.0
-4.261351,-38.93107,860.0
-7.300833,-39.27111,419.0
-6.4675,-37.085,173.0
-5.151111,-36.573055,17.0
-4.904087,-37.366943,38.0
-6.396375,-39.268955,219.0
-7.165409,-34.815628,40.0
-7.0797224,-37.272778,259.0
-8.91095,-36.49338,809.0
-9.74922,-37.430763,13.0
-6.017474,-40.281322,403.0
-5.174568,-39.289394,219.0
-9.083333,-44.32639,311.0
-9.420278,-36.620277,264.0
-7.839722,-35.80111,421.0
-8.504,-39.31528,337.0
-8.132288,-41.142944,367.0
-8.364445,-42.2525,249.0
-5.136667,-38.356667,44.0
-6.835777,-38.311584,237.0
-7.8944445,-37.12472,608.0
-4.276047,-41.794567,155.0
-8.441667,-43.865555,274.0
-9.285833,-43.324444,522.0
-3.899365,-42.259483,80.0
-4.7869444,-37.766666,19.0
-5.626559,-37.81499,109.0
-8.365278,-36.02833,859.0
-5.186636,-40.672127,296.0
-7.071111,-41.404167,252.0
-5.159925,-35.487617,1.0
-9.033334,-42.70111,385.0
-7.44142,-44.345055,399.0
-7.07773,-40.36268,579.0
-7.483206,-36.28647,390.0
-8.509444,-37.711666,440.0
-7.954277,-38.295082,556.0
-8.598785,-38.58406,320.0
-6.5619445,-35.135277,130.0
-9.804444,-36.619167,240.0
-6.974135,-42.14683,159.0
-10.128612,-36.28639,51.0
-9.287481,-35.56588,20.0
-8.666667,-35.56792,139.0
-5.9055557,-38.627777,131.0
-3.484298,-39.588715,96.0
-3.121067,-40.087288,67.0
-5.349228,-41.512276,293.0
-5.911033,-42.718727,283.0
-6.399274,-41.739952,321.0
-9.875196,-45.345806,446.0
-8.117939,-42.97572,300.0
-7.885833,-40.102684,454.0
-6.227922,-36.02659,232.0
-3.732164,-41.011887,757.0
-4.978783,-39.057182,202.0
-8.058056,-39.09611,438.0
-9.622261,-37.767113,34.0
-5.534867,-36.872314,23.0
-7.318472,-38.140835,297.0
-10.429167,-45.173054,467.0
-8.333531,-45.094624,522.0
-4.8641667,-42.145557,130.0
-6.0894446,-42.7275,183.0
-13.005515,-38.50576,10.0
-12.1247225,-45.026943,459.0
-12.152394,-45.829746,760.0
-17.739445,-39.25861,0.0
-12.675422,-39.08958,216.0
-13.527828,-40.11975,753.0
-12.524167,-40.29972,245.0
-10.952413,-37.05433,4.0
-14.658803,-39.18144,82.0
-12.131666,-40.354168,340.0
-12.1962,-38.967384,239.0
-14.886428,-40.80133,881.0
-11.002778,-44.525,446.0
-13.3325,-44.6175,536.0
